latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
63.34992,147.7596,314.95,2.47,1.51,2021-08-13,0039,T,74,6.1NRT,288.16,43.61,D
63.34348,147.75185,313.51,2.47,1.51,2021-08-13,0039,T,52,6.1NRT,289.62,34.12,D
63.34169,147.79892,314.64,2.46,1.51,2021-08-13,0039,T,61,6.1NRT,288.26,38.11,D
62.89739,141.22786,302.85,4.22,1.9,2021-08-13,0039,T,54,6.1NRT,288.29,31.75,D
62.89905,141.39539,302.96,4.17,1.89,2021-08-13,0039,T,54,6.1NRT,288.29,31.81,D
62.89624,141.30391,301.48,4.19,1.9,2021-08-13,0039,T,47,6.1NRT,288.26,27.07,D
62.89678,141.38611,302.82,4.17,1.89,2021-08-13,0039,T,54,6.1NRT,288.32,30.99,D
-11.42026,131.29689,312.84,3.34,1.72,2021-08-13,0100,T,43,6.1NRT,298.61,31.72,D
-11.81466,133.11499,315.78,2.38,1.49,2021-08-13,0100,T,41,6.1NRT,301.82,17.81,D
-11.81831,133.13641,318.03,2.37,1.49,2021-08-13,0100,T,58,6.1NRT,302.49,24.82,D
-11.82662,133.12799,320.34,2.37,1.49,2021-08-13,0100,T,45,6.1NRT,303.95,29.95,D
-11.68284,131.20526,356.17,3.35,1.73,2021-08-13,0100,T,98,6.1NRT,299.31,403.39,D
-11.68817,131.23557,324.85,3.34,1.72,2021-08-13,0100,T,76,6.1NRT,298.09,88.35,D
-11.67776,131.19887,342.88,3.35,1.73,2021-08-13,0100,T,91,6.1NRT,298.06,242.45,D
-11.68334,131.22931,335.58,3.34,1.72,2021-08-13,0100,T,86,6.1NRT,298.64,170.42,D
-11.6932,131.19606,333.22,3.35,1.73,2021-08-13,0100,T,84,6.1NRT,297.36,158.21,D
-12.42846,135.28072,335.94,1.59,1.24,2021-08-13,0100,T,86,6.1NRT,304.13,52.75,D
-12.14049,133.48773,319.64,2.19,1.44,2021-08-13,0100,T,59,6.1NRT,302.38,25.75,D
-11.7431,131.02713,318.22,3.45,1.75,2021-08-13,0100,T,64,6.1NRT,298.35,55.9,D
-12.10078,132.93234,360.63,2.43,1.5,2021-08-13,0100,T,100,6.1NRT,303.34,290.09,D
-12.10448,132.95444,347.5,2.42,1.5,2021-08-13,0100,T,93,6.1NRT,303.23,176.06,D
-11.73715,131.0222,314.63,3.45,1.75,2021-08-13,0100,T,50,6.1NRT,298.34,37.22,D
-12.09498,132.92708,321.23,2.43,1.5,2021-08-13,0100,T,62,6.1NRT,301.26,36.98,D
-12.09887,132.94922,330.74,2.42,1.5,2021-08-13,0100,T,82,6.1NRT,302.2,76.29,D
-12.10842,132.92477,339.03,2.43,1.5,2021-08-13,0100,T,88,6.1NRT,303.27,116.08,D
-12.11226,132.94678,356.77,2.42,1.5,2021-08-13,0100,T,98,6.1NRT,304.78,246.14,D
-12.63567,135.8499,313.95,1.44,1.19,2021-08-13,0100,T,44,6.1NRT,300.32,7.62,D
-12.37759,133.02084,317.75,2.36,1.48,2021-08-13,0100,T,63,6.1NRT,302.87,23.84,D
-12.7613,134.92432,329.48,1.67,1.27,2021-08-13,0100,T,81,6.1NRT,302.63,38,D
-12.78406,134.92067,336.29,1.67,1.27,2021-08-13,0100,T,86,6.1NRT,303.26,59.41,D
-12.78203,134.91486,327.7,1.67,1.27,2021-08-13,0100,T,79,6.1NRT,302.68,35.53,D
-12.78463,134.93013,322.6,1.66,1.27,2021-08-13,0100,T,73,6.1NRT,302.62,22.92,D
